d,ticker,value,nt,nm_numtype,desc_numtype
2009-04-27,DJX,0.362599386,11,vol_063,Volatility 3-month
2009-04-28,DJX,-0.00099738,1,r,Return
2009-04-28,DJX,80.17,2,p,Price
2009-04-28,DJX,0.288362447,9,vol_021,Volatility 1-month
2009-04-28,DJX,0.362288201,11,vol_063,Volatility 3-month
2009-04-29,DJX,0.02086109,1,r,Return
2009-04-29,DJX,81.86,2,p,Price
2009-04-29,DJX,0.266467592,9,vol_021,Volatility 1-month
2009-04-29,DJX,0.361438793,11,vol_063,Volatility 3-month
2009-04-30,DJX,-0.0022013,1,r,Return
2009-04-30,DJX,81.68,2,p,Price
2009-04-30,DJX,0.26585326,9,vol_021,Volatility 1-month
2009-04-30,DJX,0.357280433,11,vol_063,Volatility 3-month
2009-05-01,DJX,0.00537242,1,r,Return
2009-05-01,DJX,82.12,2,p,Price
2009-05-01,DJX,0.259147742,9,vol_021,Volatility 1-month
2009-05-01,DJX,0.355468453,11,vol_063,Volatility 3-month
2009-05-04,DJX,0.02584434,1,r,Return
2009-05-04,DJX,84.27,2,p,Price
2009-05-04,DJX,0.257269907,9,vol_021,Volatility 1-month
2009-05-04,DJX,0.358640014,11,vol_063,Volatility 3-month
2009-05-05,DJX,-0.00190046,1,r,Return
2009-05-05,DJX,84.11,2,p,Price
2009-05-05,DJX,0.257571432,9,vol_021,Volatility 1-month
2009-05-05,DJX,0.357076016,11,vol_063,Volatility 3-month
2009-05-06,DJX,0.01193656,1,r,Return
2009-05-06,DJX,85.12,2,p,Price
2009-05-06,DJX,0.258121091,9,vol_021,Volatility 1-month
2009-05-06,DJX,0.356326508,11,vol_063,Volatility 3-month
2009-05-07,DJX,-0.01205546,1,r,Return
2009-05-07,DJX,84.1,2,p,Price
2009-05-07,DJX,0.245889504,9,vol_021,Volatility 1-month
2009-05-07,DJX,0.356407394,11,vol_063,Volatility 3-month
2009-05-08,DJX,0.01942952,1,r,Return
2009-05-08,DJX,85.75,2,p,Price
2009-05-08,DJX,0.251836504,9,vol_021,Volatility 1-month
2009-05-08,DJX,0.354547376,11,vol_063,Volatility 3-month
2009-05-11,DJX,-0.01835994,1,r,Return
2009-05-11,DJX,84.19,2,p,Price
2009-05-11,DJX,0.243920217,9,vol_021,Volatility 1-month
2009-05-11,DJX,0.356547662,11,vol_063,Volatility 3-month
2009-05-12,DJX,0.00592138,1,r,Return
2009-05-12,DJX,84.69,2,p,Price
2009-05-12,DJX,0.243574127,9,vol_021,Volatility 1-month
2009-05-12,DJX,0.34333104,11,vol_063,Volatility 3-month
2009-05-13,DJX,-0.02196579,1,r,Return
2009-05-13,DJX,82.85,2,p,Price
2009-05-13,DJX,0.248826976,9,vol_021,Volatility 1-month
2009-05-13,DJX,0.346231903,11,vol_063,Volatility 3-month
2009-05-14,DJX,0.00553685,1,r,Return
2009-05-14,DJX,83.31,2,p,Price
2009-05-14,DJX,0.245579751,9,vol_021,Volatility 1-month
2009-05-14,DJX,0.346352548,11,vol_063,Volatility 3-month
2009-05-15,DJX,-0.00746991,1,r,Return
2009-05-15,DJX,82.69,2,p,Price
2009-05-15,DJX,0.24473844,9,vol_021,Volatility 1-month
2009-05-15,DJX,0.346002033,11,vol_063,Volatility 3-month
2009-05-18,DJX,0.02802306,1,r,Return
2009-05-18,DJX,85.04,2,p,Price
2009-05-18,DJX,0.262226682,9,vol_021,Volatility 1-month
2009-05-18,DJX,0.340778792,11,vol_063,Volatility 3-month
2009-05-19,DJX,-0.00341599,1,r,Return
2009-05-19,DJX,84.75,2,p,Price
2009-05-19,DJX,0.223604434,9,vol_021,Volatility 1-month
2009-05-19,DJX,0.340931641,11,vol_063,Volatility 3-month
2009-05-20,DJX,-0.00627332,1,r,Return
2009-05-20,DJX,84.22,2,p,Price
2009-05-20,DJX,0.221318076,9,vol_021,Volatility 1-month
2009-05-20,DJX,0.340182439,11,vol_063,Volatility 3-month
2009-05-21,DJX,-0.01555614,1,r,Return
2009-05-21,DJX,82.92,2,p,Price
2009-05-21,DJX,0.225767973,9,vol_021,Volatility 1-month
2009-05-21,DJX,0.340588525,11,vol_063,Volatility 3-month
2009-05-22,DJX,-0.00181061,1,r,Return
2009-05-22,DJX,82.77,2,p,Price
2009-05-22,DJX,0.224945444,9,vol_021,Volatility 1-month
2009-05-22,DJX,0.332500632,11,vol_063,Volatility 3-month
2009-05-26,DJX,0.02340405,1,r,Return
2009-05-26,DJX,84.73,2,p,Price
2009-05-26,DJX,0.232973331,9,vol_021,Volatility 1-month
2009-05-26,DJX,0.329590295,11,vol_063,Volatility 3-month
2009-05-27,DJX,-0.02062912,1,r,Return
2009-05-27,DJX,83,2,p,Price
2009-05-27,DJX,0.244608883,9,vol_021,Volatility 1-month
2009-05-27,DJX,0.331729211,11,vol_063,Volatility 3-month
2009-05-28,DJX,0.01245227,1,r,Return
2009-05-28,DJX,84.04,2,p,Price
2009-05-28,DJX,0.247229397,9,vol_021,Volatility 1-month
2009-05-28,DJX,0.331051961,11,vol_063,Volatility 3-month
2009-05-29,DJX,0.01135838,1,r,Return
2009-05-29,DJX,85,2,p,Price
2009-05-29,DJX,0.240308161,9,vol_021,Volatility 1-month
2009-05-29,DJX,0.329188811,11,vol_063,Volatility 3-month
2009-06-01,DJX,0.02566775,1,r,Return
2009-06-01,DJX,87.21,2,p,Price
2009-06-01,DJX,0.253502329,9,vol_021,Volatility 1-month
2009-06-01,DJX,0.318477389,11,vol_063,Volatility 3-month
2009-06-02,DJX,0.00229069,1,r,Return
2009-06-02,DJX,87.41,2,p,Price
2009-06-02,DJX,0.253381996,9,vol_021,Volatility 1-month
2009-06-02,DJX,0.317911632,11,vol_063,Volatility 3-month
2009-06-03,DJX,-0.00757927,1,r,Return
2009-06-03,DJX,86.75,2,p,Price
2009-06-03,DJX,0.241544893,9,vol_021,Volatility 1-month
2009-06-03,DJX,0.316653344,11,vol_063,Volatility 3-month
