d,dbo_bench_ticker,dbo_dim_equity_ticker,dbo_benchvalue_value,dbo_dailyvalue_value
2009-01-05,SPTR,GS,-0.00465272,0.023016086
2009-01-05,VIX,GS,-0.00281079,0.023016086
2009-01-06,SPX,GS,0.00778674,-0.000788311
2009-01-06,SPTR,GS,0.00778289,-0.000788311
2009-01-06,VIX,GS,-0.01339536,-0.000788311
2009-01-07,SPX,GS,-0.03046913,-0.048621078
2009-01-07,SPTR,GS,-0.02989177,-0.048621078
2009-01-07,VIX,GS,0.11801353,-0.048621078
2009-01-08,SPX,GS,0.00339136,0.010711427
2009-01-08,SPTR,GS,0.0034355,0.010711427
2009-01-08,VIX,GS,-0.01931416,0.010711427
2009-01-09,SPX,GS,-0.02153321,-0.017598957
2009-01-09,SPTR,GS,-0.02152523,-0.017598957
2009-01-09,VIX,GS,0.00609044,-0.017598957
2009-01-12,SPX,GS,-0.02282263,-0.077395215
2009-01-12,SPTR,GS,-0.0228221,-0.077395215
2009-01-12,VIX,GS,0.06815179,-0.077395215
2009-01-13,SPX,GS,0.00175655,0.00321383
2009-01-13,SPTR,GS,0.00182408,0.00321383
2009-01-13,VIX,GS,-0.05769752,0.00321383
2009-01-14,SPX,GS,-0.03403248,-0.029036509
2009-01-14,SPTR,GS,-0.03393872,-0.029036509
2009-01-14,VIX,GS,0.12721381,-0.029036509
2009-01-15,SPX,GS,0.00132831,-0.02488098
2009-01-15,SPTR,GS,0.00136332,-0.02488098
2009-01-15,VIX,GS,0.03715227,-0.02488098
2009-01-16,SPX,GS,0.00753313,-0.010621206
2009-01-16,SPTR,GS,0.00753718,-0.010621206
2009-01-16,VIX,GS,-0.10079579,-0.010621206
2009-01-20,SPX,GS,-0.05426198,-0.21022239
2009-01-20,SPTR,GS,-0.05425047,-0.21022239
2009-01-20,VIX,GS,0.20586214,-0.21022239
2009-01-21,SPX,GS,0.04257203,0.166143901
2009-01-21,SPTR,GS,0.04279584,0.166143901
2009-01-21,VIX,GS,-0.19916159,0.166143901
2009-01-22,SPX,GS,-0.01527846,0.016036722
2009-01-22,SPTR,GS,-0.01525474,0.016036722
2009-01-22,VIX,GS,0.01856846,0.016036722
2009-01-23,SPX,GS,0.00536324,0.053185254
2009-01-23,SPTR,GS,0.00537104,0.053185254
2009-01-23,VIX,GS,-0.00042301,0.053185254
2009-01-26,SPX,GS,0.00553786,-0.009523202
2009-01-26,SPTR,GS,0.00554423,-0.009523202
2009-01-26,VIX,GS,-0.03399639,-0.009523202
2009-01-27,SPX,GS,0.01086631,0.053272484
2009-01-27,SPTR,GS,0.01086202,0.053272484
2009-01-27,VIX,GS,-0.0782751,0.053272484
2009-01-28,SPX,GS,0.03300683,0.113884781
2009-01-28,SPTR,GS,0.0331321,0.113884781
2009-01-28,VIX,GS,-0.06326123,0.113884781
2009-01-29,SPX,GS,-0.03368105,-0.058459966
2009-01-29,SPTR,GS,-0.03360865,-0.058459966
2009-01-29,VIX,GS,0.07221511,-0.058459966
2009-01-30,SPX,GS,-0.02305281,-0.024351096
2009-01-30,SPTR,GS,-0.02305041,-0.024351096
2009-01-30,VIX,GS,0.05054237,-0.024351096
2009-02-02,SPX,GS,-0.00053291,0.034574359
2009-02-02,SPTR,GS,-0.000524,0.034574359
2009-02-02,VIX,GS,0.01505119,0.034574359
2009-02-03,SPX,GS,0.01570993,-0.009135603
2009-02-03,SPTR,GS,0.0157216,-0.009135603
2009-02-03,VIX,GS,-0.0555573,-0.009135603
2009-02-04,SPX,GS,-0.00751766,0.060446724
2009-02-04,SPTR,GS,-0.00677402,0.060446724
2009-02-04,VIX,GS,0.01818023,0.060446724
2009-02-05,SPX,GS,0.01623319,0.053989008
2009-02-05,SPTR,GS,0.01630074,0.053989008
2009-02-05,VIX,GS,-0.00274035,0.053989008
2009-02-06,SPX,GS,0.02654068,0.039283211
2009-02-06,SPTR,GS,0.02694315,0.039283211
2009-02-06,VIX,GS,-0.00826641,0.039283211
2009-02-09,SPX,GS,0.00148405,0.013576422
2009-02-09,SPTR,GS,0.00152126,0.013576422
2009-02-09,VIX,GS,0.0062062,0.013576422
2009-02-10,SPX,GS,-0.05036862,-0.079599639
2009-02-10,SPTR,GS,-0.05034201,-0.079599639
2009-02-10,VIX,GS,0.0671274,-0.079599639
2009-02-11,SPX,GS,0.00792346,0.046575332
2009-02-11,SPTR,GS,0.00835663,0.046575332
2009-02-11,VIX,GS,-0.04693844,0.046575332
2009-02-12,SPX,GS,0.00173764,0.009144065
2009-02-12,SPTR,GS,0.00196833,0.009144065
2009-02-12,VIX,GS,-0.07651201,0.009144065
2009-02-13,SPX,GS,-0.01004804,0.009060826
2009-02-13,SPTR,GS,-0.00992783,0.009060826
2009-02-13,VIX,GS,0.03991977,0.009060826
2009-02-17,SPX,GS,-0.04662945,-0.118055198
2009-02-17,SPTR,GS,-0.04644371,-0.118055198
2009-02-17,VIX,GS,0.12528646,-0.118055198
2009-02-18,SPX,GS,-0.00095082,-0.014217593
2009-02-18,SPTR,GS,-0.00075524,-0.014217593
2009-02-18,VIX,GS,-0.00411862,-0.014217593
2009-02-19,SPX,GS,-0.01209692,0.017712209
2009-02-19,SPTR,GS,-0.01143485,0.017712209
2009-02-19,VIX,GS,-0.02889043,0.017712209
2009-02-20,SPX,GS,-0.01147857,-0.011145885
2009-02-20,SPTR,GS,-0.0112642,-0.011145885
2009-02-20,VIX,GS,0.0460758,-0.011145885
2009-02-23,SPX,GS,-0.03531536,-0.05491458
2009-02-23,SPTR,GS,-0.03528665,-0.05491458
2009-02-23,VIX,GS,0.0651722,-0.05491458
2009-02-24,SPX,GS,0.03932005,0.149483233
2009-02-24,SPTR,GS,0.03932999,0.149483233
2009-02-24,VIX,GS,-0.14560375,0.149483233
2009-02-25,SPX,GS,-0.01071504,-0.033463717
2009-02-25,SPTR,GS,-0.01047103,-0.033463717
2009-02-25,VIX,GS,-0.01819039,-0.033463717
2009-02-26,SPX,GS,-0.01590567,0.024497472
2009-02-26,SPTR,GS,-0.01568832,0.024497472
2009-02-26,VIX,GS,-0.00022389,0.024497472
2009-02-27,SPX,GS,-0.0238465,-0.011678934
2009-02-27,SPTR,GS,-0.02381414,-0.011678934
2009-02-27,VIX,GS,0.03714305,-0.011678934
2009-03-02,SPX,GS,-0.04774186,-0.054256628
2009-03-02,SPTR,GS,-0.04772873,-0.054256628
2009-03-02,VIX,GS,0.12744495,-0.054256628
2009-03-03,SPX,GS,-0.00642739,-0.046260716
2009-03-03,SPTR,GS,-0.00642149,-0.046260716
2009-03-03,VIX,GS,-0.0332141,-0.046260716
2009-03-04,SPX,GS,0.02347539,0.036944085
2009-03-04,SPTR,GS,0.02384206,0.036944085
2009-03-04,VIX,GS,-0.06846007,0.036944085
2009-03-05,SPX,GS,-0.04346329,-0.044866621
2009-03-05,SPTR,GS,-0.04338942,-0.044866621
2009-03-05,VIX,GS,0.05342517,-0.044866621
2009-03-06,SPX,GS,0.00121529,-0.077181305
2009-03-06,SPTR,GS,0.00146763,-0.077181305
2009-03-06,VIX,GS,-0.01688482,-0.077181305
2009-03-09,SPX,GS,-0.01007428,-0.022728343
2009-03-09,SPTR,GS,-0.00996086,-0.022728343
2009-03-09,VIX,GS,0.00707002,-0.022728343
2009-03-10,SPX,GS,0.06171871,0.142551093
2009-03-10,SPTR,GS,0.06178877,0.142551093
2009-03-10,VIX,GS,-0.11303887,0.142551093
2009-03-11,SPX,GS,0.00244282,0.080078399
2009-03-11,SPTR,GS,0.00278023,0.080078399
2009-03-11,VIX,GS,-0.01727708,0.080078399
2009-03-12,SPX,GS,0.03992107,0.051266144
2009-03-12,SPTR,GS,0.04010281,0.051266144
2009-03-12,VIX,GS,-0.05733378,0.051266144
2009-03-13,SPX,GS,0.00770924,0.015812324
2009-03-13,SPTR,GS,0.00773972,0.015812324
2009-03-13,VIX,GS,0.02825182,0.015812324
2009-03-16,SPX,GS,-0.00352216,-0.050867069
2009-03-16,SPTR,GS,-0.00350155,-0.050867069
2009-03-16,VIX,GS,0.0320585,-0.050867069
2009-03-17,SPX,GS,0.03163429,0.052788826
2009-03-17,SPTR,GS,0.03164543,0.052788826
2009-03-17,VIX,GS,-0.06958093,0.052788826
2009-03-18,SPX,GS,0.02064342,0.061319909
2009-03-18,SPTR,GS,0.02067753,0.061319909
2009-03-18,VIX,GS,-0.01830375,0.061319909
2009-03-19,SPX,GS,-0.01306413,-0.058192831
2009-03-19,SPTR,GS,-0.01306234,-0.058192831
2009-03-19,VIX,GS,0.086512,-0.058192831
2009-03-20,SPX,GS,-0.01996743,-0.020141485
2009-03-20,SPTR,GS,-0.01993879,-0.020141485
2009-03-20,VIX,GS,0.0493569,-0.020141485
2009-03-23,SPX,GS,0.06836638,0.139868893
2009-03-23,SPTR,GS,0.06856826,0.139868893
2009-03-23,VIX,GS,-0.05971253,0.139868893
2009-03-24,SPX,GS,-0.02062638,-0.011953155
2009-03-24,SPTR,GS,-0.02059685,-0.011953155
2009-03-24,VIX,GS,-0.00696382,-0.011953155
2009-03-25,SPX,GS,0.00958032,0.021025409
2009-03-25,SPTR,GS,0.00958844,0.021025409
2009-03-25,VIX,GS,-0.01596653,0.021025409
2009-03-26,SPX,GS,0.02305263,-0.008535322
2009-03-26,SPTR,GS,0.02306113,-0.008535322
2009-03-26,VIX,GS,-0.04576516,-0.008535322
2009-03-27,SPX,GS,-0.02052474,-0.035538062
2009-03-27,SPTR,GS,-0.02035286,-0.035538062
2009-03-27,VIX,GS,0.01670801,-0.035538062
2009-03-30,SPX,GS,-0.03543936,-0.073111699
2009-03-30,SPTR,GS,-0.03538068,-0.073111699
2009-03-30,VIX,GS,0.10404386,-0.073111699
2009-03-31,SPX,GS,0.01304421,0.053867728
2009-03-31,SPTR,GS,0.01304081,0.053867728
2009-03-31,VIX,GS,-0.03122466,0.053867728
2009-04-01,SPX,GS,0.01642102,0.039485101
2009-04-01,SPTR,GS,0.01660871,0.039485101
2009-04-01,VIX,GS,-0.04305224,0.039485101
2009-04-02,SPX,GS,0.02832224,0.035012834
2009-04-02,SPTR,GS,0.02837949,0.035012834
2009-04-02,VIX,GS,-0.00569262,0.035012834
2009-04-03,SPX,GS,0.00968473,0.044352714
2009-04-03,SPTR,GS,0.00970452,0.044352714
2009-04-03,VIX,GS,-0.05727036,0.044352714
2009-04-06,SPX,GS,-0.00836725,-0.023301381
2009-04-06,SPTR,GS,-0.00831101,-0.023301381
2009-04-06,VIX,GS,0.0305121,-0.023301381
2009-04-07,SPX,GS,-0.02414368,-0.004897976
2009-04-07,SPTR,GS,-0.02349365,-0.004897976
2009-04-07,VIX,GS,-0.01328106,-0.004897976
2009-04-14,SPX,GS,-0.02026854,-0.122799472
2009-04-14,SPTR,GS,-0.02024556,-0.122799472
2009-04-14,VIX,GS,-0.0037096,-0.122799472
2009-06-16,SPX,GS,-0.0128019,0.008008843
2009-06-16,SPTR,GS,-0.01280066,0.008008843
2009-06-16,VIX,GS,0.05892396,0.008008843
2009-06-17,SPX,GS,-0.00138258,-0.031212068
2009-06-17,SPTR,GS,-0.00136305,-0.031212068
2009-06-17,VIX,GS,-0.03550669,-0.031212068
2009-06-18,SPX,GS,0.00837584,0.023761447
2009-06-18,SPTR,GS,0.0085188,0.023761447
2009-06-18,VIX,GS,-0.0490597,0.023761447
2009-06-19,SPX,GS,0.00310937,0.000279961
2009-06-19,SPTR,GS,0.00310558,0.000279961
2009-06-19,VIX,GS,-0.07034958,0.000279961
2009-06-22,SPX,GS,-0.03107836,-0.043699046
2009-06-22,SPTR,GS,-0.03091711,-0.043699046
2009-06-22,VIX,GS,0.10760879,-0.043699046
2009-06-23,SPX,GS,0.00230407,0.030052855
2009-06-23,SPTR,GS,0.0023181,0.030052855
2009-06-23,VIX,GS,-0.01910989,0.030052855
2009-06-24,SPX,GS,0.00650322,0.010287898
2009-06-24,SPTR,GS,0.00653142,0.010287898
2009-06-24,VIX,GS,-0.05132772,0.010287898
2009-06-25,SPX,GS,0.02121758,0.012400791
2009-06-25,SPTR,GS,0.02122127,0.012400791
2009-06-25,VIX,GS,-0.09717077,0.012400791
2009-06-26,SPX,GS,-0.00147894,0.015867444
2009-06-26,SPTR,GS,-0.00126349,0.015867444
2009-06-26,VIX,GS,-0.01644711,0.015867444
2009-06-29,SPX,GS,0.00902434,0.017697472
2009-06-29,SPTR,GS,0.00905254,0.017697472
2009-06-29,VIX,GS,-0.02262187,0.017697472
2009-07-27,SPX,GS,0.00297741,-0.005173359
2009-07-27,SPTR,GS,0.00297087,-0.005173359
2009-07-27,VIX,GS,0.05025334,-0.005173359
2009-08-11,SPX,GS,-0.01274094,-0.007134389
2009-08-11,SPTR,GS,-0.01244601,-0.007134389
2009-08-11,VIX,GS,0.0392361,-0.007134389
2009-08-26,SPX,GS,0.00011673,0.006104331
2009-08-26,SPTR,GS,0.00021996,0.006104331
2009-08-26,VIX,GS,0.00120313,0.006104331
2009-09-29,SPX,GS,-0.00223207,0.005900557
2009-09-29,SPTR,GS,-0.00220697,0.005900557
2009-09-29,VIX,GS,0.01238282,0.005900557
2009-09-30,SPX,GS,-0.00333382,0.00418523
2009-09-30,SPTR,GS,-0.00323622,0.00418523
2009-09-30,VIX,GS,0.01653581,0.00418523
2009-10-01,SPX,GS,-0.02609723,-0.029506054
2009-10-01,SPTR,GS,-0.02608845,-0.029506054
2009-10-01,VIX,GS,0.09881827,-0.029506054
2009-10-02,SPX,GS,-0.00451569,0.003458014
2009-10-02,SPTR,GS,-0.00447085,0.003458014
2009-10-02,VIX,GS,0.01439884,0.003458014
2009-10-05,SPX,GS,0.01476545,0.037482665
2009-10-05,SPTR,GS,0.01478158,0.037482665
2009-10-05,VIX,GS,-0.0663067,0.037482665
2009-10-06,SPX,GS,0.01361241,0.002731267
2009-10-06,SPTR,GS,0.01363156,0.002731267
