d,rf_str,mkt_str,smb_str,hml_str,umd_str
2008-12-29, 3.9999998989515E-05,-4.4999998062849E-03,-1.40000004321337E-02, 1.20000005699694E-03, .013399999588728
2008-12-30, 3.9999998989515E-05, 2.49000005424023E-02, 4.80000022798777E-03, 8.2999998703599E-03,-1.53000000864267E-02
2008-12-31, 3.9999998989515E-05, 1.75000000745058E-02, 1.47000001743436E-02, 6.00000005215406E-03,-1.85000002384186E-02
2009-01-02, 0, 3.08999996632338E-02,-1.48999998345971E-02,-9.99999974737875E-05,-4.36000004410744E-02
2009-01-05, 0,-5.00000023748726E-04, 4.10000002011657E-03,-6.30000000819564E-03,-3.07000000029802E-02
2009-01-06, 0, 1.13000003620982E-02, 9.89999994635582E-03, 8.10000021010637E-03,-5.11999987065792E-02
2009-01-07, 0,-3.06000001728535E-02, 3.1999999191612E-03,-9.30000003427267E-03, 1.86000000685453E-02
2009-01-08, 0, 6.3999998383224E-03, 6.20000017806888E-03, 4.00000018998981E-03,-1.57999992370605E-02
2009-01-09, 0,-2.25000008940697E-02,-1.40000004321337E-02,-9.70000028610229E-03, 7.89999961853027E-03
2009-01-12, 0,-2.53999996930361E-02, 2.40000011399388E-03,-1.53999999165535E-02, 3.97999994456768E-02
2009-01-13, 0, 3.70000000111759E-03, 4.69999993219972E-03,-8.99999984540045E-04, 6.3999998383224E-03
2009-01-14, 0,-3.53999994695187E-02,-4.60000010207295E-03,-1.09000001102686E-02, 2.95000001788139E-02
2009-01-15, 0, 4.99999988824129E-03, 1.96000002324581E-02,-1.97999998927116E-02, 1.64000000804663E-02
2009-01-16, 0, 8.70000012218952E-03, 3.29999998211861E-03,-8.20000004023314E-03, 1.09999999403954E-03
2009-01-20, 0,-5.51999993622303E-02,-3.9999998989515E-04,-3.09999994933605E-02, 4.65000011026859E-02
2009-01-21, 0, 4.32999990880489E-02,-9.99999977648258E-03, 1.81000009179115E-02,-4.16000001132488E-02
2009-01-22, 0,-1.82000007480383E-02,-1.09999999403954E-02,-1.15999998524785E-02, .023700000718236
2009-01-23, 0, 6.69999979436398E-03,-3.40000004507601E-03, 6.30000000819564E-03,-2.52999998629093E-02
2009-01-26, 0, 6.20000017806888E-03, 5.70000009611249E-03,-3.50000010803342E-03, 3.00000014249235E-04
2009-01-27, 0, 1.13000003620982E-02,-3.40000004507601E-03, 9.99999974737875E-05,-1.21999997645617E-02
2009-01-28, 0, 3.37999984622002E-02,-3.10000008903444E-03, 1.90999992191792E-02,-4.06000018119812E-02
2009-01-29, 0,-3.29000018537045E-02,-2.09999992512167E-03,-1.75999999046326E-02, .031300000846386
2009-01-30, 0,-2.10999995470047E-02, 8.99999984540045E-04,-8.79999995231628E-03, 1.85000002384186E-02
2009-02-02, 9.99999974737875E-06,-8.99999984540045E-04, 1.30000002682209E-02,-7.49999983236194E-03, 1.04000000283122E-02
2009-02-03, 9.99999974737875E-06, 1.44999995827675E-02,-4.4999998062849E-03,-1.83000005781651E-02, .008500000461936
2009-02-04, 9.99999974737875E-06,-4.4999998062849E-03,-3.1999999191612E-03,-1.79999996908009E-03,-8.70000012218952E-03
2009-02-05, 9.99999974737875E-06, 1.56999994069338E-02, 3.9999998989515E-04,-2.09999992512167E-03,-1.75999999046326E-02
2009-02-06, 9.99999974737875E-06, 2.81000006943941E-02, 6.00000028498471E-04, 1.81000009179115E-02,-.030799999833107
2009-02-09, 9.99999974737875E-06, 1.30000000353903E-03,-8.70000012218952E-03, 1.20000005699694E-03,-1.43999997526407E-02
2009-02-10, 9.99999974737875E-06,-.046399999409914, .008500000461936,-2.07000002264977E-02, 3.79999987781048E-02
2009-02-11, 9.99999974737875E-06, 7.30000017210841E-03,-4.99999988824129E-03, 6.20000017806888E-03,-8.20000004023314E-03
